Code,Sector_Title,Number_of_US_Entities
424940,Tobacco Product and Electronic Cigarette Merchant Wholesalers,"3,997"
424950,"Paint, Varnish, and Supplies Merchant Wholesalers","3,835"
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,"65,370"
425120,Wholesale Trade Agents and Brokers,"1,219"
441110,New Car Dealers,"68,200"
441120,Used Car Dealers,"41,573"
441210,Recreational Vehicle Dealers,"4,588"
441222,Boat Dealers,"11,313"
441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers","29,291"
441330,Automotive Parts and Accessories Retailers,"45,272"
441340,Tire Dealers,"33,205"
444110,Home Centers,"5,332"
444120,Paint and Wallpaper Retailers,"12,744"
444140,Hardware Retailers,"22,287"
444180,Other Building Material Dealers,"44,926"
444230,Outdoor Power Equipment Retailers,"4,552"
444240,"Nursery, Garden Center, and Farm Supply Retailers","14,314"
445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers),"86,718"
445131,Convenience Retailers,"57,070"
445132,Vending Machine Operators,"9,873"
445230,Fruit and Vegetable Retailers,"7,134"
445240,Meat Retailers,"9,194"
445250,Fish and Seafood Retailers,"2,879"
445291,Baked Goods Retailers,"63,151"
445292,Confectionery and Nut Retailers,"11,561"
445298,All Other Specialty Food Retailers,"35,955"
445320,"Beer, Wine, and Liquor Retailers","34,060"
449110,Furniture Retailers,"46,019"
449121,Floor Covering Retailers,"45,706"
449122,Window Treatment Retailers,"7,504"
449129,All Other Home Furnishings Retailers,"19,262"
449210,Electronics and Appliance Retailers,"76,522"
455110,Department Stores,"18,619"
455211,Warehouse Clubs and Supercenters,"1,925"
455219,All Other General Merchandise Retailers,"42,398"
456110,Pharmacies and Drug Retailers,"53,844"
456120,"Cosmetics, Beauty Supplies, and Perfume Retailers","28,392"
456130,Optical Goods Retailers,"16,194"
456191,Food (Health) Supplement Retailers,"17,774"
456199,All Other Health and Personal Care Retailers,"16,199"
457110,Gasoline Stations with Convenience Stores,"1,169"
457120,Other Gasoline Stations,"62,768"
457210,Fuel Dealers,"13,208"
458110,Clothing and Clothing Accessories Retailers,"195,297"
458210,Shoe Retailers,"19,631"
458310,Jewelry Retailers,"42,346"
458320,Luggage and Leather Goods Retailers,"1,778"
459110,Sporting Goods Retailers,"57,834"
459120,"Hobby, Toy, and Game Retailers","26,843"
459130,"Sewing, Needlework, and Piece Goods Retailers","11,412"
459140,Musical Instrument and Supplies Retailers,"10,310"
459210,Book Retailers and News Dealers,"15,718"
459310,Florists,"28,744"
459410,Office Supplies and Stationery Retailers,"5,257"
459420,"Gift, Novelty, and Souvenir Retailers","56,639"
459510,Used Merchandise Retailers,"38,743"
459910,Pet and Pet Supplies Retailers,"18,784"
459920,Art Dealers,"3,310"
459930,Manufactured (Mobile) Home Dealers,"4,096"
459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers","23,079"
459999,All Other Miscellaneous Retailers,"188,101"
481111,Scheduled Passenger Air Transportation,"2,073"
481112,Scheduled Freight Air Transportation,457
481211,Nonscheduled Chartered Passenger Air Transportation,161
481212,Nonscheduled Chartered Freight Air Transportation,93
481219,Other Nonscheduled Air Transportation,"2,287"
482111,Line-Haul Railroads,"2,585"
482112,Short Line Railroads,24
483111,Deep Sea Freight Transportation,690
483112,Deep Sea Passenger Transportation,199
483113,Coastal and Great Lakes Freight Transportation,537
483114,Coastal and Great Lakes Passenger Transportation,0
483211,Inland Water Freight Transportation,"3,056"
483212,Inland Water Passenger Transportation,257
484110,"General Freight Trucking, Local","167,654"
484121,"General Freight Trucking, Long-Distance, Truckload","56,838"
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",736
484210,Used Household and Office Goods Moving,"13,417"
484220,"Specialized Freight (except Used Goods) Trucking, Local","10,843"
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance","4,498"
485111,Mixed Mode Transit Systems,"6,130"
485112,Commuter Rail Systems,173
485113,Bus and Other Motor Vehicle Transit Systems,"1,158"
485119,Other Urban Transit Systems,203
485210,Interurban and Rural Bus Transportation,990
485310,Taxi and Ridesharing Services,"10,294"
485320,Limousine Service,"19,263"
485410,School and Employee Bus Transportation,"2,429"
485510,Charter Bus Industry,"4,117"
485991,Special Needs Transportation,0
485999,All Other Transit and Ground Passenger Transportation,"4,516"
486110,Pipeline Transportation of Crude Oil,921
486210,Pipeline Transportation of Natural Gas,"1,787"
486910,Pipeline Transportation of Refined Petroleum Products,267
486990,All Other Pipeline Transportation,184
487110,"Scenic and Sightseeing Transportation, Land",349
487210,"Scenic and Sightseeing Transportation, Water",481
487990,"Scenic and Sightseeing Transportation, Other",300
488111,Air Traffic Control,"1,125"
488119,Other Airport Operations,"13,631"
488190,Other Support Activities for Air Transportation,"4,044"
488210,Support Activities for Rail Transportation,"17,509"
488310,Port and Harbor Operations,191
488320,Marine Cargo Handling,"1,012"
488330,Navigational Services to Shipping,"1,397"
488390,Other Support Activities for Water Transportation,"1,051"
488410,Motor Vehicle Towing,"27,966"
488490,Other Support Activities for Road Transportation,"6,428"
488510,Freight Transportation Arrangement,"77,737"
488991,Packing and Crating,"1,474"
488999,All Other Support Activities for Transportation,"166,515"
491110,Postal Service,"22,898"
492110,Couriers and Express Delivery Services,"9,881"
492210,Local Messengers and Local Delivery,"4,642"
493110,General Warehousing and Storage,"22,012"
493120,Refrigerated Warehousing and Storage,"1,713"
493130,Farm Product Warehousing and Storage,839
493190,Other Warehousing and Storage,"9,550"
512110,Motion Picture and Video Production,"29,825"
512120,Motion Picture and Video Distribution,"34,462"
512131,Motion Picture Theaters (except Drive-Ins),"6,489"
512132,Drive-In Motion Picture Theaters,101
512191,Teleproduction and Other Postproduction Services,"5,400"
512199,Other Motion Picture and Video Industries,"6,916"
512230,Music Publishers,834
512240,Sound Recording Studios,"5,923"
512250,Record Production and Distribution,"6,501"
512290,Other Sound Recording Industries,290
513110,Newspaper Publishers,"12,153"
513120,Periodical Publishers,"5,064"
513130,Book Publishers,"5,514"
513140,Directory and Mailing List Publishers,464
513191,Greeting Card Publishers,310
513199,All Other Publishers,"22,488"
513210,Software Publishers,"26,792"
516110,Radio Broadcasting Stations,"3,149"
516120,Television Broadcasting Stations,"4,814"
516210,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers","19,472"
517111,Wired Telecommunications Carriers,"15,483"
517112,Wireless Telecommunications Carriers (except Satellite),"40,344"
517121,Telecommunications Resellers,"12,344"
517122,Agents for Wireless Telecommunications Services,273
517410,Satellite Telecommunications,183
517810,All Other Telecommunications,"53,658"
518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","21,793"
519210,Libraries and Archives,"24,635"
519290,Web Search Portals and All Other Information Services,"4,789"
521110,Monetary Authorities-Central Bank,32
522110,Commercial Banking,"64,442"
522130,Credit Unions,"16,151"
522180,Savings Institutions and Other Depository Credit Intermediation,"4,160"
522210,Credit Card Issuing,15
522220,Sales Financing,"2,391"
522291,Consumer Lending,"16,656"
522292,Real Estate Credit,"27,418"
522299,"International, Secondary Market, and All Other Nondepository Credit Intermediation","16,644"
522310,Mortgage and Nonmortgage Loan Brokers,"10,076"
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","29,315"
522390,Other Activities Related to Credit Intermediation,"7,511"
523150,Investment Banking and Securities Intermediation,"35,098"
523160,Commodity Contracts Intermediation,"3,875"
523210,Securities and Commodity Exchanges,457
523910,Miscellaneous Intermediation,"147,333"
523940,Portfolio Management and Investment Advice,"90,771"
523991,"Trust, Fiduciary, and Custody Activities","19,065"
523999,Miscellaneous Financial Investment Activities,"1,955"
524113,Direct Life Insurance Carriers,"8,168"
524114,Direct Health and Medical Insurance Carriers,"4,899"
524126,Direct Property and Casualty Insurance Carriers,"9,694"
524127,Direct Title Insurance Carriers,"3,669"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","4,401"
524130,Reinsurance Carriers,130
524210,Insurance Agencies and Brokerages,"206,056"
524291,Claims Adjusting,"4,748"
524292,Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds,750
524298,All Other Insurance Related Activities,"6,466"
525110,Pension Funds,715
525120,Health and Welfare Funds,863
525190,Other Insurance Funds,68
525910,Open-End Investment Funds,"13,449"
525920,"Trusts, Estates, and Agency Accounts","8,188"
525990,Other Financial Vehicles,"5,790"
531110,Lessors of Residential Buildings and Dwellings,"137,367"
531120,Lessors of Nonresidential Buildings (except Miniwarehouses),"29,850"
531130,Lessors of Miniwarehouses and Self-Storage Units,"26,651"
531190,Lessors of Other Real Estate Property,"26,688"
531210,Offices of Real Estate Agents and Brokers,"363,689"
531311,Residential Property Managers,"32,064"
531312,Nonresidential Property Managers,"158,243"
531320,Offices of Real Estate Appraisers,"21,413"
531390,Other Activities Related to Real Estate,"5,661"
532111,Passenger Car Rental,"17,893"
532112,Passenger Car Leasing,840
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing","19,689"
532210,Consumer Electronics and Appliances Rental,"6,003"
532281,Formal Wear and Costume Rental,"2,044"
532282,Video Tape and Disc Rental,"3,690"
532283,Home Health Equipment Rental,"2,597"
532284,Recreational Goods Rental,"1,687"
532289,All Other Consumer Goods Rental,"18,446"
532310,General Rental Centers,733
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing","1,070"
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing","5,809"
532420,Office Machinery and Equipment Rental and Leasing,539
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,"40,777"
533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),"3,033"
541110,Offices of Lawyers,"328,139"
541120,Offices of Notaries,"12,150"
541191,Title Abstract and Settlement Offices,"13,572"
541199,All Other Legal Services,"5,165"
541211,Offices of Certified Public Accountants,"78,610"
541213,Tax Preparation Services,"65,057"
541214,Payroll Services,"3,197"
541219,Other Accounting Services,"42,053"
541310,Architectural Services,"38,634"
541320,Landscape Architectural Services,"87,663"
541330,Engineering Services,"97,783"
541340,Drafting Services,"1,497"
541350,Building Inspection Services,"13,789"
541360,Geophysical Surveying and Mapping Services,0
541370,Surveying and Mapping (except Geophysical) Services,"12,678"
541380,Testing Laboratories and Services,"16,103"
541410,Interior Design Services,"37,006"
541420,Industrial Design Services,"1,538"
541430,Graphic Design Services,"35,579"
541490,Other Specialized Design Services,"257,898"
541511,Custom Computer Programming Services,"146,552"
541512,Computer Systems Design Services,"99,883"
541513,Computer Facilities Management Services,0
541519,Other Computer Related Services,"4,726"
541611,Administrative Management and General Management Consulting Services,"183,021"
541612,Human Resources Consulting Services,"15,361"
541613,Marketing Consulting Services,"77,979"
541614,"Process, Physical Distribution, and Logistics Consulting Services","27,367"
541618,Other Management Consulting Services,"378,469"
541620,Environmental Consulting Services,"25,287"
541690,Other Scientific and Technical Consulting Services,"43,158"
541713,Research and Development in Nanotechnology,0
541714,Research and Development in Biotechnology (except Nanobiotechnology),"7,977"
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)","21,577"
541720,Research and Development in the Social Sciences and Humanities,"14,309"
541810,Advertising Agencies,"24,742"
541820,Public Relations Agencies,"14,876"
541830,Media Buying Agencies,863
541840,Media Representatives,"3,312"
541850,Indoor and Outdoor Display Advertising,"2,372"
541860,Direct Mail Advertising,"4,574"
541870,Advertising Material Distribution Services,921
541890,Other Services Related to Advertising,"11,797"
541910,Marketing Research and Public Opinion Polling,"12,047"
541921,"Photography Studios, Portrait","85,729"
541922,Commercial Photography,"15,516"
541930,Translation and Interpretation Services,"6,953"
541940,Veterinary Services,"47,341"
541990,"All Other Professional, Scientific, and Technical Services","64,926"
551111,Offices of Bank Holding Companies,"1,892"
551112,Offices of Other Holding Companies,"91,224"
551114,"Corporate, Subsidiary, and Regional Managing Offices",0
561110,Office Administrative Services,"155,375"
561210,Facilities Support Services,"4,845"
561311,Employment Placement Agencies,"30,334"
561312,Executive Search Services,"12,751"
561320,Temporary Help Services,"19,698"
561330,Professional Employer Organizations,778
561410,Document Preparation Services,"3,780"
561421,Telephone Answering Services,"5,177"
561422,Telemarketing Bureaus and Other Contact Centers,"1,305"
561431,Private Mail Centers,"8,221"
561439,Other Business Service Centers (including Copy Shops),599
561440,Collection Agencies,"4,769"
561450,Credit Bureaus,"1,856"
561491,Repossession Services,"1,875"
561492,Court Reporting and Stenotype Services,"6,677"
561499,All Other Business Support Services,"121,333"
561510,Travel Agencies,"44,132"
561520,Tour Operators,"10,471"
561591,Convention and Visitors Bureaus,"1,318"
561599,All Other Travel Arrangement and Reservation Services,"3,735"
561611,Investigation and Personal Background Check Services,"10,680"
561612,Security Guards and Patrol Services,"17,006"
561613,Armored Car Services,"2,299"
561621,Security Systems Services (except Locksmiths),"18,020"
561622,Locksmiths,"13,343"
561710,Exterminating and Pest Control Services,"29,775"
561720,Janitorial Services,"99,942"
561730,Landscaping Services,"135,324"
561740,Carpet and Upholstery Cleaning Services,"16,679"
561790,Other Services to Buildings and Dwellings,"115,589"
561910,Packaging and Labeling Services,"3,029"
561920,Convention and Trade Show Organizers,"3,955"
561990,All Other Support Services,"601,085"
562111,Solid Waste Collection,"1,702"
562112,Hazardous Waste Collection,240
562119,Other Waste Collection,"8,937"
562211,Hazardous Waste Treatment and Disposal,738
562212,Solid Waste Landfill,"1,212"
562213,Solid Waste Combustors and Incinerators,33
562219,Other Nonhazardous Waste Treatment and Disposal,"2,496"
562910,Remediation Services,"3,280"
562920,Materials Recovery Facilities,"15,561"
562991,Septic Tank and Related Services,"12,612"
562998,All Other Miscellaneous Waste Management Services,"1,313"
611110,Elementary and Secondary Schools,"203,791"
611210,Junior Colleges,"5,953"
611310,"Colleges, Universities, and Professional Schools","41,017"
611410,Business and Secretarial Schools,691
611420,Computer Training,"3,625"
611430,Professional and Management Development Training,"2,453"
611511,Cosmetology and Barber Schools,"3,184"
611512,Flight Training,"1,151"
611513,Apprenticeship Training,401
611519,Other Technical and Trade Schools,"7,142"
611610,Fine Arts Schools,"30,048"
611620,Sports and Recreation Instruction,"49,984"
611630,Language Schools,"2,202"
611691,Exam Preparation and Tutoring,"10,682"
611692,Automobile Driving Schools,"5,976"
611699,All Other Miscellaneous Schools and Instruction,"12,734"
611710,Educational Support Services,"49,309"
621111,Offices of Physicians (except Mental Health Specialists),"399,069"
621112,"Offices of Physicians, Mental Health Specialists","18,300"
621210,Offices of Dentists,"213,216"
621310,Offices of Chiropractors,"68,453"
621320,Offices of Optometrists,"35,832"
621330,Offices of Mental Health Practitioners (except Physicians),"38,084"
621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists","40,132"
621391,Offices of Podiatrists,"14,979"
621399,Offices of All Other Miscellaneous Health Practitioners,"97,485"
621410,Family Planning Centers,"5,001"
621420,Outpatient Mental Health and Substance Abuse Centers,"15,313"
621491,HMO Medical Centers,"1,280"
621492,Kidney Dialysis Centers,"10,610"
621493,Freestanding Ambulatory Surgical and Emergency Centers,"4,115"
621498,All Other Outpatient Care Centers,"41,854"
621511,Medical Laboratories,"15,384"
621512,Diagnostic Imaging Centers,"2,659"
621610,Home Health Care Services,"59,567"
621910,Ambulance Services,"7,612"
621991,Blood and Organ Banks,"8,963"
621999,All Other Miscellaneous Ambulatory Health Care Services,"136,076"
622110,General Medical and Surgical Hospitals,"44,060"
622210,Psychiatric and Substance Abuse Hospitals,"3,584"
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,"2,490"
623110,Nursing Care Facilities (Skilled Nursing Facilities),"35,673"
623210,Residential Intellectual and Developmental Disability Facilities,"1,936"
623220,Residential Mental Health and Substance Abuse Facilities,"6,039"
623311,Continuing Care Retirement Communities,"16,112"
623312,Assisted Living Facilities for the Elderly,"11,665"
623990,Other Residential Care Facilities,"14,839"
624110,Child and Youth Services,"10,564"
624120,Services for the Elderly and Persons with Disabilities,"19,902"
624190,Other Individual and Family Services,"162,607"
624210,Community Food Services,"1,071"
624221,Temporary Shelters,"1,627"
624229,Other Community Housing Services,233
624230,Emergency and Other Relief Services,"3,536"
624310,Vocational Rehabilitation Services,"11,551"
624410,Child Care Services,"114,458"
711110,Theater Companies and Dinner Theaters,"3,157"
711120,Dance Companies,132
711130,Musical Groups and Artists,"9,352"
711190,Other Performing Arts Companies,"26,189"
711211,Sports Teams and Clubs,"5,587"
711212,Racetracks,"3,948"
711219,Other Spectator Sports,"15,278"
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities","9,651"
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities","2,865"
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures","9,257"
711510,"Independent Artists, Writers, and Performers","55,207"
712110,Museums,"29,574"
712120,Historical Sites,"3,233"
712130,Zoos and Botanical Gardens,"1,868"
712190,Nature Parks and Other Similar Institutions,"8,506"
713110,Amusement and Theme Parks,"2,207"
713120,Amusement Arcades,"2,394"
713210,Casinos (except Casino Hotels),511
713290,Other Gambling Industries,489
713910,Golf Courses and Country Clubs,"17,042"
713920,Skiing Facilities,283
713930,Marinas,"7,124"
713940,Fitness and Recreational Sports Centers,"142,102"
713950,Bowling Centers,"4,943"
713990,All Other Amusement and Recreation Industries,"24,981"
721110,Hotels (except Casino Hotels) and Motels,"97,142"
721120,Casino Hotels,"2,352"
721191,Bed-and-Breakfast Inns,"16,782"
721199,All Other Traveler Accommodation,"5,082"
721211,RV (Recreational Vehicle) Parks and Campgrounds,"11,380"
721214,Recreational and Vacation Camps (except Campgrounds),"4,232"
721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps","2,421"
722310,Food Service Contractors,"2,142"
722320,Caterers,"36,184"
722330,Mobile Food Services,"6,276"
722410,Drinking Places (Alcoholic Beverages),"76,407"
722511,Full-Service Restaurants,"383,187"
722513,Limited-Service Restaurants,"285,263"
722514,"Cafeterias, Grill Buffets, and Buffets","2,042"
722515,Snack and Nonalcoholic Beverage Bars,"1,035"
811111,General Automotive Repair,"168,927"
811114,Specialized Automotive Repair,"39,392"
811121,"Automotive Body, Paint, and Interior Repair and Maintenance","51,844"
811122,Automotive Glass Replacement Shops,"7,683"
811191,Automotive Oil Change and Lubrication Shops,"8,181"
811192,Car Washes,"32,844"
811198,All Other Automotive Repair and Maintenance,"14,373"
811210,Electronic and Precision Equipment Repair and Maintenance,"33,176"
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,"43,141"
811411,Home and Garden Equipment Repair and Maintenance,"7,142"
811412,Appliance Repair and Maintenance,"58,461"
811420,Reupholstery and Furniture Repair,"11,279"
811430,Footwear and Leather Goods Repair,"3,068"
811490,Other Personal and Household Goods Repair and Maintenance,"29,690"
812111,Barber Shops,"39,281"
812112,Beauty Salons,"253,265"
812113,Nail Salons,"62,181"
812191,Diet and Weight Reducing Centers,"2,478"
812199,Other Personal Care Services,"59,009"
812210,Funeral Homes and Funeral Services,"24,569"
812220,Cemeteries and Crematories,"11,162"
812310,Coin-Operated Laundries and Drycleaners,"13,236"
812320,Drycleaning and Laundry Services (except Coin-Operated),"22,781"
812331,Linen Supply,"1,767"
812332,Industrial Launderers,847
812910,Pet Care (except Veterinary) Services,"52,623"
812921,Photofinishing Laboratories (except One-Hour),"3,789"
812922,One-Hour Photofinishing,0
812930,Parking Lots and Garages,"5,592"
812990,All Other Personal Services,"97,429"
813110,Religious Organizations,"369,168"
813211,Grantmaking Foundations,"10,012"
813212,Voluntary Health Organizations,"1,282"
813219,Other Grantmaking and Giving Services,361
813311,Human Rights Organizations,"14,191"
813312,"Environment, Conservation and Wildlife Organizations","9,810"
813319,Other Social Advocacy Organizations,"54,050"
813410,Civic and Social Organizations,"172,036"
813910,Business Associations,"35,115"
813920,Professional Organizations,"34,910"
813930,Labor Unions and Similar Labor Organizations,"16,246"
813940,Political Organizations,"3,036"
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","76,066"
814110,Private Households,0
921110,Executive Offices,"51,234"
921120,Legislative Bodies,"8,050"
921130,Public Finance Activities,"6,517"
921140,"Executive and Legislative Offices, Combined",253
921150,American Indian and Alaska Native Tribal Governments,"1,324"
921190,Other General Government Support,"16,711"
922110,Courts,"15,543"
922120,Police Protection,"19,213"
922130,Legal Counsel and Prosecution,"3,721"
922140,Correctional Institutions,"4,622"
922150,Parole Offices and Probation Offices,"1,850"
922160,Fire Protection,"35,705"
922190,"Other Justice, Public Order, and Safety Activities","2,685"
923110,Administration of Education Programs,"1,726"
923120,Administration of Public Health Programs,"7,803"
923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)","9,063"
923140,Administration of Veterans' Affairs,"1,700"
924110,Administration of Air and Water Resource and Solid Waste Management Programs,"5,632"
924120,Administration of Conservation Programs,"14,483"
925110,Administration of Housing Programs,"6,335"
925120,Administration of Urban Planning and Community and Rural Development,"2,077"
926110,Administration of General Economic Programs,"2,305"
926120,Regulation and Administration of Transportation Programs,"9,913"
926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities","1,250"
926140,Regulation of Agricultural Marketing and Commodities,"6,092"
926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors","3,236"
927110,Space Research and Technology,170
928110,National Security,"14,852"
928120,International Affairs,"2,146"
