LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,5d_zip,5d_zip_num,latitude,longitude
0002859260-0001-7,EAGLE AVENUE,ACS DISTRIBUTION,1418 ESSEX STREET,LOS ANGELES,90021-2613,1418 ESSEX 90021-2613,,,,424990,Other miscellaneous nondurable goods,14,2015-03-01,,"(34.0288, -118.248)",90021,90021.0,34.0288,-118.248
0003134363-0001-6,MINDFUL INTEGRATION OF CONSTRUCTION SERVICES LLC,,1973 W 48TH STREET,LOS ANGELES,90062-2104,1973 48TH 90062,POST OFFICE BOX #180156,LOS ANGELES,90018-0156,541600,"Management, scientific, & technical consulting services",8,2019-02-09,,"(34.0002, -118.3156)",90062,90062.0,34.0002,-118.3156
0000151929-0001-5,ALPHA PSI HOUSE ASSOCIATION OF ALPHA CHI OMEGA /C,,638 HILGARD AVENUE,LOS ANGELES,90024-3225,638 HILGARD 90024-3225,7660 BEVERLY BLVD   APT #202,LOS ANGELES,90036-2740,721310,Rooming & boarding houses,5,1984-07-07,,"(34.0684, -118.4391)",90024,90024.0,34.0684,-118.4391
0003218399-0001-6,JUSTIN ASHE,,423 W 18TH STREET,SAN PEDRO,90731-5405,423 18TH 90731-5405,,,,541990,"All other professional, scientific, & technical services",15,2017-01-01,,"(33.7278, -118.2863)",90731,90731.0,33.7278,-118.2863
0002524933-0001-5,FAITH F SANTIAGO,,9216 VAN NUYS BLVD APT #10,PANORAMA CITY,91402-1431,9216 VAN NUYS 91402-1431,9216 VAN NUYS BLVD   APT #10,PANORAMA CITY,91402-1431,621610,Home health care services,6,2009-05-12,,"(34.2377, -118.4497)",91402,91402.0,34.2377,-118.4497
0002023363-0001-2,MADELINE FRY-HALPERIN,,11693 SAN VICENTE BLVD #143,LOS ANGELES,90049-5105,11693 SAN VICENTE 90049-5105,11693 SAN VICENTE BLVD #143,LOS ANGELES,90049-5105,561300,Employment services,11,2001-10-06,,"(34.054, -118.4655)",90049,90049.0,34.054,-118.4655
0002659155-0001-7,JAIME JUAREZ,,13990 ASTORIA STREET #221,SYLMAR,91342-2977,13990 ASTORIA 91342-2977,13999 ASTORIA STREET APT #E204,SYLMAR,91342-8404,812990,All other personal services,7,2012-12-07,,"(34.3118, -118.4384)",91342,91342.0,34.3118,-118.4384
0003334749-0001-0,WENDY RIVERA,,14693 REX STREET,SYLMAR,91342-3951,14693 Rex 91342-3951,,,,812990,All other personal services,7,2022-10-15,,"(34.3086, -118.4539)",91342,91342.0,34.3086,-118.4539
0003143458-0001-2,ASIAN PACIFIC AMERICAN LEADERSHIP FOUNDATION,,315 W 9TH STREET SUITE #700,LOS ANGELES,90015-4212,315 9TH 90015-4212,,,,541700,Scientific research & development services,14,2018-08-01,,"(34.0434, -118.2573)",90015,90015.0,34.0434,-118.2573
0000575691-0001-3,SENIOR CARE CLINIC AMC,,1700 E CESAR E CHAVEZ AVENUE SUITE #3900,LOS ANGELES,90033-2436,1700 CESAR E CHAVEZ 90033-2436,,,,621111,Offices of physicians (except mental health specialists),14,2001-11-01,,"(34.0511, -118.2176)",90033,90033.0,34.0511,-118.2176
0002847013-0001-5,MARINE GRIGORYAN,MG HAIR AND BEAUTY,14945 HARTLAND STREET,VAN NUYS,91405-3710,14945 HARTLAND 91405-3710,,,,812112,Beauty salons,6,2015-08-10,,"(34.1952, -118.459)",91405,91405.0,34.1952,-118.459
0002883395-0001-4,NUYORKTRICITY LLC,,12517 GREENE AVENUE,LOS ANGELES,90066-6434,12517 GREENE 90066-6434,12517 GREENE AVENUE,LOS ANGELES,90066-6434,512100,Motion picture & video industries (except video rental),11,2014-07-10,,"(33.9902, -118.4257)",90066,90066.0,33.9902,-118.4257
0003377350-0001-7,UCE PRODUCTIONS LLC,,9808 LANGDON AVENUE,NORTH HILLS,91343-2123,9808 Langdon 91343-2123,,,,512100,Motion picture & video industries (except video rental),7,2019-01-01,,"(34.2485, -118.4695)",91343,91343.0,34.2485,-118.4695
